Rk,School,G,Tm.,Opp.,PPG,OPPG,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,STL/TOV,PF,PFPG,FT/FGA,FGPG,FGAPG,3PPG,3PAPG,FTPG,FTAPG,ORBPG,TRBPG,APG,SPG,BPG,TOPG,AST/TO,3P Ratio,NET
16,Arkansas State,32,2359,2475,73.71875,77.34375,796,1904,0.418,237,709,0.334,530,721,0.735,403,1211,363,183,139,448,0.408482143,684,21.375,0.278361345,24.875,59.5,7.40625,22.15625,16.5625,22.53125,12.59375,37.84375,11.34375,5.71875,4.34375,14,0.810267857,0.297738693,0.284900285
17,Arkansas,32,2415,2323,75.46875,72.59375,845,1892,0.447,241,703,0.343,484,728,0.665,328,1075,502,261,152,425,0.614117647,646,20.1875,0.255813953,26.40625,59.125,7.53125,21.96875,15.125,22.75,10.25,33.59375,15.6875,8.15625,4.75,13.28125,1.181176471,0.285207101,0.814814815
18,Army,32,2268,2305,70.875,72.03125,837,1956,0.428,272,864,0.315,322,471,0.684,259,1125,499,198,50,376,0.526595745,544,17,0.164621677,26.15625,61.125,8.5,27,10.0625,14.71875,8.09375,35.15625,15.59375,6.1875,1.5625,11.75,1.32712766,0.324970131,0.319088319
19,Auburn,34,2701,2320,79.44117647,68.23529412,930,2071,0.449,381,1012,0.376,460,648,0.71,409,1173,487,316,162,417,0.757793765,621,18.26470588,0.22211492,27.35294118,60.91176471,11.20588235,29.76470588,13.52941176,19.05882353,12.02941176,34.5,14.32352941,9.294117647,4.764705882,12.26470588,1.167865707,0.409677419,0.948717949
20,Austin Peay,33,2712,2413,82.18181818,73.12121212,973,2060,0.472,268,702,0.382,498,705,0.706,397,1215,454,252,110,392,0.642857143,595,18.03030303,0.241747573,29.48484848,62.42424242,8.121212121,21.27272727,15.09090909,21.36363636,12.03030303,36.81818182,13.75757576,7.636363636,3.333333333,11.87878788,1.158163265,0.275436793,0.615384615
21,Ball State,33,2478,2362,75.09090909,71.57575758,889,1892,0.47,202,621,0.325,498,709,0.702,308,1243,426,217,119,480,0.452083333,580,17.57575758,0.263213531,26.93939394,57.33333333,6.121212121,18.81818182,15.09090909,21.48484848,9.333333333,37.66666667,12.90909091,6.575757576,3.606060606,14.54545455,0.8875,0.227221597,0.626780627
22,Baylor,32,2293,2150,71.65625,67.1875,816,1853,0.44,254,748,0.34,407,604,0.674,428,1222,443,196,152,424,0.462264151,599,18.71875,0.219643821,25.5,57.90625,7.9375,23.375,12.71875,18.875,13.375,38.1875,13.84375,6.125,4.75,13.25,1.044811321,0.31127451,0.888888889
23,Belmont,31,2710,2290,87.41935484,73.87096774,987,1976,0.499,325,870,0.374,411,557,0.738,275,1205,616,212,117,360,0.588888889,481,15.51612903,0.207995951,31.83870968,63.74193548,10.48387097,28.06451613,13.25806452,17.96774194,8.870967742,38.87096774,19.87096774,6.838709677,3.774193548,11.61290323,1.711111111,0.329280648,0.866096866
24,Bethune-Cookman,31,2290,2245,73.87096774,72.41935484,833,1899,0.439,204,635,0.321,420,689,0.61,415,1273,443,234,108,501,0.467065868,610,19.67741935,0.221169036,26.87096774,61.25806452,6.580645161,20.48387097,13.5483871,22.22580645,13.38709677,41.06451613,14.29032258,7.548387097,3.483870968,16.16129032,0.884231537,0.244897959,0.133903134
25,Binghamton,33,2152,2376,65.21212121,72,793,1842,0.431,275,788,0.349,291,452,0.644,244,1060,324,183,152,409,0.447432763,474,14.36363636,0.157980456,24.03030303,55.81818182,8.333333333,23.87878788,8.818181818,13.6969697,7.393939394,32.12121212,9.818181818,5.545454545,4.606060606,12.39393939,0.792176039,0.346784363,0.074074074
